Date,High,Low,Close,Volume,Price,Change In Price,Divergence Factor 1,Divergence Factor 2,Divergence Factor 3,Divergence Factor 4,Divergence Factor 1 Rank,Divergence Factor 2 Rank,Divergence Factor 3 Rank,Divergence Factor 4 Rank,DF Avg Rank,% Rank of DF Avgs,RSI,MACD,WPCTR,CCI,CCI Percentile,PNL Percentile,pdi,mdi,adx
2019-03-17 17:00:00+00:00,19.22989,19.07236,19.10984,519506,19.10984,-0.005073492857277656,0.2180470906912538,-0.0979529093087462,7.647934913587295e-05,-0.2718139534883721,1.0,1.0,1.0,1.0,1.0,1.0,39.56114637592516,0.013224906055626207,-93.18892200334402,-157.79962865933243,0.044186046511627906,0.316,17.98752820444379,25.535414007318934,27.628874386750038
2019-03-18 17:00:00+00:00,19.118660000000002,18.986720000000002,19.02426,596126,19.02426,-0.004488378835281614,0.1955305516486951,-0.012469448351304896,0.0015262235549902171,-0.19172093023255812,0.0,1.0,1.0,1.0,0.75,0.0,37.650777722027094,-0.008432273207972685,-94.09674172851932,-186.70200617840004,0.01627906976744186,0.208,16.68041653337054,28.39654908394324,27.511911630925475
2019-03-19 17:00:00+00:00,19.03456,18.88821,18.92204,617955,18.92204,-0.005387626580586591,0.1755534718966505,0.041553471896650485,0.008945573616178402,-0.11074418604651164,0.0,1.0,1.0,1.0,0.75,0.5,32.234710124566604,-0.03345835641212247,-95.39370668409539,-178.40264242942462,0.023255813953488372,0.134,15.348130096335542,31.504715780011132,28.009895122567464
2019-03-20 17:00:00+00:00,18.94069,18.74686,18.89866,833273,18.89866,-0.001236360140251011,0.11967234463718288,0.001672344637182882,0.01192578259397294,-0.07846511627906977,0.0,0.6666666666666667,1.0,1.0,0.6666666666666667,0.0,32.24679096786258,-0.054549465971931,-82.66687980999816,-164.47351608713356,0.03953488372093023,0.118,13.778473099238198,35.74075048679248,29.177117842149865
2019-03-21 17:00:00+00:00,19.17608,18.839660000000002,19.1626,956265,19.1626,0.01386944262887162,0.0664869510861072,-0.3035130489138928,0.0010453388852643512,-0.018837209302325575,0.0,0.0,0.25,1.0,0.3125,0.0,40.967051985370944,-0.049397150487774155,-52.52917399346867,-71.76876863496659,0.3511627906976744,0.37,22.796028354668564,30.005020366601247,28.068261052116714
2019-03-22 17:00:00+00:00,19.16666,19.06754,19.09232,149728,19.09232,-0.003674302759902008,0.14971610147418868,-0.1362838985258113,0.00640340318217074,0.16051162790697676,0.4,0.2,0.6,1.0,0.55,0.2,27.744385552702,-0.050403887353599686,-60.554020416086274,-44.2051556383848,0.44651162790697674,0.286,21.691495336291208,28.551190989116336,27.038608318514502
2019-03-24 17:00:00+00:00,19.15418,18.98907,19.01838,621949,19.01838,-0.0038802799619822603,0.13502630619367612,-0.0669736938063239,0.007905947115037584,0.21427906976744182,0.33333333333333337,0.5,0.6666666666666667,1.0,0.625,0.33333333333333337,28.284807070969578,-0.056516585611969816,-64.8990356025545,-56.54778517756548,0.41627906976744183,0.202,19.956858884952926,30.068569446480197,26.551074966754978
2019-03-25 17:00:00+00:00,19.12322,18.99596,19.0814,717916,19.0814,0.003308158602163706,0.12273271865395634,-0.15126728134604367,0.006129167232658781,0.17716279069767438,0.28571428571428575,0.14285714285714288,0.42857142857142855,0.8571428571428571,0.4285714285714286,0.14285714285714288,31.63005186850539,-0.055634436548164246,-56.75207487654184,-42.82423202258735,0.4511627906976744,0.274,18.714625109632124,28.196922572724947,26.09836542583542
2019-03-26 17:00:00+00:00,19.377489999999998,19.07062,19.30892,915980,19.30892,0.01185312671577337,0.06117362087826225,-0.4188263791217377,-0.005821965447628482,0.24790697674418605,0.0,0.0,0.0,1.0,0.25,0.0,45.549913552748386,-0.0361595398566017,-17.29181688420614,60.887667470787385,0.727906976744186,0.48,27.640387792550765,24.273300438255806,24.697477439147228
2019-03-27 17:00:00+00:00,19.44385,19.27444,19.38285,919361,19.38285,0.0038214891679254816,0.00995468041881542,-0.5060453195811846,-0.003426446007446216,0.36539534883720926,0.0,0.0,0.1111111111111111,1.0,0.2777777777777778,0.1111111111111111,52.64503755793519,-0.01459180552723538,-8.751918965838819,119.14954540248671,0.8813953488372093,0.516,28.52142992080873,22.41864153206949,23.78910972656484
