Date,High,Low,Close,Volume,Price,Change In Price,Divergence Factor 1,Divergence Factor 2,Divergence Factor 3,Divergence Factor 4,Divergence Factor 1 Rank,Divergence Factor 2 Rank,Divergence Factor 3 Rank,Divergence Factor 4 Rank,DF Avg Rank,% Rank of DF Avgs,RSI,MACD,WPCTR,CCI,CCI Percentile,PNL Percentile,pdi,mdi,adx
2019-03-17 17:00:00+00:00,3.7504,3.7502800000000005,3.75031,1969,3.75031,-5.332878261244036e-06,0.15359691618482052,-0.04240308381517949,1.2763405034553487e-05,0.5226046511627906,1.0,1.0,1.0,1.0,1.0,1.0,36.84210526324401,-2.1726111128383963e-05,-16.66666666664424,37.664041996220384,0.7186046511627907,0.196,12.9055139181907,27.77829985694995,42.64413008626831
2019-03-18 17:00:00+00:00,3.7503699999999998,3.7502400000000002,3.75032,5451,3.75032,2.6664426855120616e-06,0.13626347866854197,-0.07673652133145803,1.2972746306686523e-05,0.4102558139534884,0.0,0.0,1.0,0.0,0.25,0.0,40.00000000008882,-2.0250849459557685e-05,-15.151515151482528,6.345885634463325,0.6232558139534884,0.213,12.021076336573431,27.983273616219794,42.448203222656936
2019-03-19 17:00:00+00:00,3.7503599999999997,3.7502199999999997,3.75031,5077,3.75031,-2.6664426854493846e-06,0.10956659894775223,-0.08643340105224778,2.292514181223699e-05,0.3505116279069767,0.0,0.0,1.0,0.0,0.25,0.5,42.10526315789475,-1.9661959554273523e-05,-16.66666666664424,-13.695652175667961,0.5465116279069767,0.196,11.135981603459149,26.974741827539244,42.38474955827824
2019-03-20 17:00:00+00:00,3.7503599999999997,3.7502199999999997,3.75026,3626,3.75026,-1.33323200771299e-05,0.17555998333072875,0.034559983330728766,3.216310630803333e-05,0.2962093023255814,1.0,1.0,1.0,0.0,0.75,0.6666666666666667,33.33333333339502,-2.2965114648165752e-05,-24.242424242385503,-39.479392624613155,0.4372093023255814,0.141,10.31785501746426,24.992989861228253,42.32582829849802
2019-03-21 17:00:00+00:00,3.75034,3.7502199999999997,3.75026,35,3.75026,0.0,0.17134057404802833,0.03034057404802834,3.1042642596365406e-05,0.2845813953488372,0.75,0.75,0.75,0.0,0.5625,0.5,33.33333333339502,-2.5291345964628675e-05,-24.242424242385503,-43.35154826814116,0.4255813953488372,0.141,9.662580866628883,23.405716132295932,42.271115700130665
2019-03-22 17:00:00+00:00,3.75026,3.75026,3.75026,3,3.75026,0.0,0.05963692243579724,-0.08136307756420275,2.526843036472068e-05,-0.008441860465116274,0.0,0.2,0.6,0.0,0.2,0.0,44.44444444433479,-2.6825671401109474e-05,-79.99999999986677,-132.0471597011752,0.1325581395348837,0.141,9.662580866628884,23.405716132295932,42.22031114450384
2019-03-24 17:00:00+00:00,3.7503599999999997,3.7502400000000002,3.75034,41,3.75034,2.1331626803966545e-05,-0.14365004948689902,-0.389650049486899,5.308784150126377e-06,0.45865116279069773,0.0,0.0,0.0,0.8333333333333333,0.20833333333333331,0.16666666666666669,66.66666666660498,-2.1340306186168334e-05,-39.999999999822364,30.74324324378219,0.7046511627906977,0.246,14.716558149248996,21.800032008610025,40.590143265696035
2019-03-25 17:00:00+00:00,3.7503800000000003,3.75029,3.7503599999999997,34,3.7503599999999997,5.33283560192244e-06,-0.14338959212376934,-0.4273895921237693,-3.431175361966391e-06,0.6322790697674419,0.14285714285714288,0.0,0.0,1.0,0.2857142857142857,0.5714285714285715,67.99999999994316,-1.5204019408354696e-05,-29.999999999977796,119.37984496153,0.9162790697674419,0.284,15.1106089877735,20.655520236081326,38.798222082370685
2019-03-26 17:00:00+00:00,3.7503800000000003,3.7502800000000005,3.75032,47,3.75032,-1.0665699643234373e-05,-0.0013101005365421803,-0.21431010053654218,7.870807716766048e-06,0.5381627906976745,0.25,0.25,0.25,0.875,0.40625,0.625,52.000000000007105,-1.3414005330503187e-05,-49.99999999988898,54.416961130910515,0.7511627906976744,0.213,14.217453398606846,20.02569535858286,37.238475051792356
2019-03-27 17:00:00+00:00,3.7503599999999997,3.75025,3.75035,164,3.75035,7.999285397225019e-06,-0.029908319008178363,-0.2949083190081784,9.792001819724849e-07,0.43267441860465117,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.2777777777777778,0.4444444444444444,55.555555555573825,-9.465544097420064e-06,-34.999999999789054,29.16666666628888,0.6976744186046512,0.265,13.287090437644213,20.499927267869456,36.10343779839213
